dep,arr,tof_days,c3_km2s2,v_inf_kms,dv1_ms,dv2_ms,total_dv_ms
2026-12-29,2027-09-18,263,1.4844608216705997,1.2183845130625224,1218.3845130625223,1109.681595354566,2328.0661084170883
2027-01-13,2027-09-28,258,1.4849020674294815,1.2185655778124875,1218.5655778124876,1105.2832403776713,2323.848818190159
2027-01-03,2027-09-22,262,1.48508452719974,1.218640442132026,1218.640442132026,1099.58871317504,2318.2291553070663
2026-12-28,2027-09-17,263,1.4856810084287464,1.2188851498105744,1218.8851498105744,1114.5176261155318,2333.402775926106
2026-12-14,2027-10-24,314,1.4860424318659604,1.2190334006359138,1219.0334006359137,1131.5121225751727,2350.545523211086
2026-12-27,2027-09-16,263,1.4861578185436288,1.219080726836262,1219.080726836262,1119.3634984096154,2338.4442252458775
2026-12-26,2027-09-15,263,1.486159266092948,1.2190813205413935,1219.0813205413936,1124.2228884290791,2343.3042089704727
2027-01-16,2027-09-30,257,1.486819010389164,1.2193518812833168,1219.3518812833167,1103.4492078963658,2322.8010891796825
2027-01-08,2027-09-25,260,1.487012283745686,1.2194311312024497,1219.4311312024497,1102.8887905492727,2322.319921751722
2026-12-04,2027-10-15,315,1.487170108806978,1.2194958420621933,1219.4958420621933,1083.3508694534319,2302.8467115156254
2027-01-10,2027-09-26,259,1.4895927884270226,1.220488749815836,1220.4887498158362,1106.8454687818032,2327.3342185976394
2026-12-19,2027-10-28,313,1.489883091962203,1.2206076732358366,1220.6076732358367,1145.0817026500833,2365.68937588592
2027-01-02,2027-09-21,262,1.4909512410970813,1.2210451429398839,1221.0451429398838,1104.5235542428068,2325.568697182691
2026-12-05,2027-10-16,315,1.4911260219667923,1.2211167110341223,1221.1167110341223,1090.1441612541007,2311.2608722882233
2027-01-05,2027-09-23,261,1.4915937419162166,1.221308209223297,1221.308209223297,1103.8838432483813,2325.192052471678
2027-01-15,2027-09-29,257,1.4918240336024722,1.221402486325647,1221.402486325647,1108.9572062029893,2330.3596925286365
2027-01-12,2027-09-27,258,1.4927913772740988,1.221798419246849,1221.7984192468489,1110.7017008541318,2332.500120100981
2026-12-22,2027-10-30,312,1.4929127411037886,1.2218480842984485,1221.8480842984484,1141.9913943895851,2363.8394786880335
2026-12-15,2027-10-25,314,1.4935035352742192,1.2220898229157378,1222.0898229157378,1139.8580910646747,2361.9479139804125
2026-12-06,2027-10-17,315,1.4948177294670912,1.2226273878279887,1222.6273878279887,1097.1543888822591,2319.781776710248
2027-01-07,2027-09-24,260,1.495746373376261,1.2230071027497187,1223.0071027497188,1108.0716210082348,2331.0787237579534
2027-01-01,2027-09-20,262,1.496053852549257,1.2231328024990815,1223.1328024990814,1109.4526536229578,2332.5854561220394
2027-01-14,2027-09-28,257,1.4981111200261417,1.2239734964557614,1223.9734964557613,1114.4743509398281,2338.4478473955896
2026-12-07,2027-10-18,315,1.4983911274085138,1.2240878756888796,1224.0878756888796,1104.383027313605,2328.4709030024846
2027-01-09,2027-09-25,259,1.4985807076348232,1.2241653105830206,1224.1653105830205,1112.1483504242935,2336.3136610073143
2027-01-04,2027-09-22,261,1.4990264096824302,1.224347340292954,1224.347340292954,1108.9355745988992,2333.282914891853
2026-12-31,2027-09-19,262,1.5003070391337876,1.2248702131792526,1224.8702131792527,1114.377515197593,2339.2477283768458
